centre_name,centre_code,centre_address,postal_code,postal,address,latitude,longtitude
MY FIRST SKOOL,NT0030,"343,ANG MO KIO AVE 3,#01-2182,560343",560343,560343,343 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560343,1.368374751,103.8491511
KIDS' STAR CHILD DEVELOPMENT CENTRE (S) PTE LTD,WP0060,"565,ANG MO KIO AVE 3,#01-3431,560565",560565,560565,565 ANG MO KIO AVENUE 3 HDB-ANG MO KIO SINGAPORE 560565,1.369539344,103.85838559999999
MY FIRST SKOOL,NT0527,"571,ANG MO KIO AVENUE 3,#01-3291,560571",560571,560571,571 ANG MO KIO AVENUE 3 CHENG SAN COURT SINGAPORE 560571,1.3700550130000002,103.8548806
CM CENTRAL PTE LTD,PT7140,"161,ANG MO KIO AVE 4,#01-502,560161",560161,560161,161 ANG MO KIO AVENUE 4 SINGAPORE 560161,1.374164454,103.8395491
MINDCHAMPS PRESCHOOL @ YIO CHU KANG PTE. LTD.,PT9043,"202,ANG MO KIO AVENUE 9,#01-204,YIO CHU KANG SWIMMING COMPLEX,569771",569771,569771,202 ANG MO KIO AVENUE 9 YIO CHU KANG SWIMMING COMPLEX SINGAPORE 569771,1.3815370969999998,103.84674790000001
SHAWS CDLC @LORONG CHUAN PTE. LTD,PT9401,"5/15,MEI HWAN DRIVE,GOLDEN HILL ESTATE,568346",568346,568346,5 MEI HWAN DRIVE GOLDEN HILL ESTATE SINGAPORE 568346,1.3545982540000001,103.8593055
BRIGHTON MONTESSORI CENTRES PTE. LTD.,PT9001,"190,ANG MO KIO AVENUE 8,#02-01,568046",568046,568046,190 ANG MO KIO AVENUE 8 LEARNING VISION @ WORK PTE. LTD. SINGAPORE 568046,1.380708478,103.84649959999999
CARPE DIEM @ ITE PTE. LTD.,PT8911,"2,ANG MO KIO DRIVE,#01-07,ITE COLLEGE CENTRAL,567720",567720,567720,2 ANG MO KIO DRIVE ITE HEADQUARTERS SINGAPORE 567720,1.377509461,103.8564135
LEARNING KIDZ EDUCENTRE PTE. LTD.,PT8781,"61,ANG MO KIO AVENUE 8,#03-01,569814",569814,569814,61 ANG MO KIO AVENUE 8 SINGAPORE 569814,1.3717855190000001,103.8477757
LITTLE CHAMPS SCHOOLHOUSE (MONTESSORI) PTE. LTD.,PT8778,"447,ANG MO KIO AVENUE 10,#01-1675,560447",560447,560447,447 ANG MO KIO AVENUE 10 CHONG BOON CENTRE SINGAPORE 560447,1.3674790140000002,103.8559671
MY FIRST SKOOL,NT0481,"601,ANG MO KIO AVENUE 5,#01-2611,560601",560601,560601,601 ANG MO KIO AVENUE 5 YIO CHU KANG GREEN SINGAPORE 560601,1.381041355,103.8351317
MY FIRST SKOOL,NT0508,"209,ANG MO KIO AVENUE 3,#01-1584,560209",560209,560209,209 ANG MO KIO AVENUE 3 HDB-ANG MO KIO SINGAPORE 560209,1.368970796,103.8432845
LITTLE GENIUS EDUCARE CENTRE,PT8240,"470,ANG MO KIO AVENUE 10,#01-904,560470",560470,560470,470 ANG MO KIO AVENUE 10 TECK GHEE HORIZON SINGAPORE 560470,1.3640980790000001,103.8566942
LEARNING KIDZ EDUCARE PTE. LTD.,PT6100,"10,ANG MO KIO ST 65,#01-04,TECHPOINT,569059",569059,569059,10 ANG MO KIO STREET 65 TECHPOINT SINGAPORE 569059,1.389354994,103.8492772
KIDS AND KINS CHILD CARE CENTRE,PT2130,"2,SHANGRI-LA WALK,568179",568179,568179,2 SHANGRI-LA WALK SHANGRI-LA PARK SINGAPORE 568179,1.369682026,103.8323314
SUPER TALENT CHILDCARE LTD,RC1782,"218,ANG MO KIO AVENUE 1,#01-925,560218",560218,560218,218 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560218,1.365119086,103.84174250000001
MY WORLD PRESCHOOL LTD.,YM0090,"584,ANG MO KIO AVE 3,#01-3107,560584",560584,560584,584 ANG MO KIO AVENUE 3 CHENG SAN COURT SINGAPORE 560584,1.37071308,103.8534978
PCS ANG MO KIO CHILD CARE CENTRE,PW0100,"442,ANG MO KIO AVENUE 10,#01-1205,560442",560442,560442,442 ANG MO KIO AVENUE 10 HDB-ANG MO KIO SINGAPORE 560442,1.365653269,103.8552322
