school_name,address,postal_code,mainlevel_code,postal,latitude,longtitude
BEDOK GREEN SECONDARY SCHOOL,360 BEDOK NORTH AVENUE 3 BEDOK GREEN SECONDARY SCHOOL SINGAPORE 469722,469722,SECONDARY,469722,1.333826681,103.9355132
PUNGGOL SECONDARY SCHOOL,51 EDGEFIELD PLAINS PUNGGOL SECONDARY SCHOOL SINGAPORE 828870,828870,SECONDARY,828870,1.402126295,103.9091193
NORTH VISTA SECONDARY SCHOOL,11 RIVERVALE LINK NORTH VISTA SECONDARY SCHOOL SINGAPORE 545081,545081,SECONDARY,545081,1.381252014,103.8989269
ADMIRALTY SECONDARY SCHOOL,31 WOODLANDS CRESCENT ADMIRALTY SECONDARY SCHOOL SINGAPORE 737916,737916,SECONDARY,737916,1.445890689,103.80239820000001
PEI HWA SECONDARY SCHOOL,21 FERNVALE LINK PEI HWA SECONDARY SCHOOL SINGAPORE 797702,797702,SECONDARY,797702,1.3903804569999998,103.87859350000001
GREENDALE SECONDARY SCHOOL,51 EDGEDALE PLAINS GREENDALE SECONDARY SCHOOL SINGAPORE 828866,828866,SECONDARY,828866,1.3972808,103.9115758
EDGEFIELD SECONDARY SCHOOL,36 PUNGGOL FIELD EDGEFIELD SECONDARY SCHOOL SINGAPORE 828814,828814,SECONDARY,828814,1.400179295,103.9021412
MERIDIAN SECONDARY SCHOOL,31 PASIR RIS STREET 51 MERIDIAN SECONDARY SCHOOL SINGAPORE 518901,518901,SECONDARY,518901,1.3671073519999999,103.9492736
LOYANG VIEW SECONDARY SCHOOL,12 PASIR RIS STREET 11 LOYANG VIEW SECONDARY SCHOOL SINGAPORE 519073,519073,SECONDARY,519073,1.366658318,103.9580664
DUNMAN HIGH SCHOOL,10 TANJONG RHU ROAD DUNMAN HIGH SCHOOL SINGAPORE 436895,436895,MIXED LEVEL,436895,1.2991253040000001,103.8828617
RIVER VALLEY HIGH SCHOOL,6 BOON LAY AVENUE SINGAPORE 649961,649961,MIXED LEVEL,649961,1.344595842,103.7081907
AHMAD IBRAHIM SECONDARY SCHOOL,751 YISHUN AVENUE 7 AHMAD IBRAHIM SECONDARY SCHOOL SINGAPORE 768928,768928,SECONDARY,768928,1.436235146,103.8299865
BROADRICK SECONDARY SCHOOL,61 DAKOTA CRESCENT BROADRICK SECONDARY SCHOOL SINGAPORE 399935,399935,SECONDARY,399935,1.30750538,103.8866754
BUKIT MERAH SECONDARY SCHOOL,10 LENGKOK BAHRU BUKIT MERAH SECONDARY SCHOOL SINGAPORE 159050,159050,SECONDARY,159050,1.285751537,103.81320840000001
BUKIT PANJANG GOVT. HIGH SCHOOL,7 CHOA CHU KANG AVENUE 4 BUKIT PANJANG GOVERNMENT HIGH SCHOOL SINGAPORE 689809,689809,SECONDARY,689809,1.3821367219999998,103.7381344
DUNMAN SECONDARY SCHOOL,21 TAMPINES STREET 45 DUNMAN SECONDARY SCHOOL SINGAPORE 529093,529093,SECONDARY,529093,1.36054751,103.9562073
JURONG SECONDARY SCHOOL,31 YUAN CHING ROAD JURONG SECONDARY SCHOOL SINGAPORE 618652,618652,SECONDARY,618652,1.3301473540000002,103.7240997
NAVAL BASE SECONDARY SCHOOL,901 YISHUN RING ROAD NAVAL BASE SECONDARY SCHOOL SINGAPORE 768689,768689,SECONDARY,768689,1.4192452930000001,103.8310441
OUTRAM SECONDARY SCHOOL,3 YORK HILL OUTRAM SECONDARY SCHOOL SINGAPORE 168622,168622,SECONDARY,168622,1.286387486,103.8370728
YIO CHU KANG SECONDARY SCHOOL,3063 ANG MO KIO AVENUE 5 YIO CHU KANG SECONDARY SCHOOL SINGAPORE 569868,569868,SECONDARY,569868,1.3782633530000001,103.8418094
YUAN CHING SECONDARY SCHOOL,103 YUAN CHING ROAD YUAN CHING SECONDARY SCHOOL SINGAPORE 618654,618654,SECONDARY,618654,1.3418918709999998,103.7206308
BOON LAY SECONDARY SCHOOL,11 JURONG WEST STREET 65 BOON LAY SECONDARY SCHOOL SINGAPORE 648354,648354,SECONDARY,648354,1.3432237230000001,103.70170290000002
BEDOK VIEW SECONDARY SCHOOL,6 BEDOK SOUTH AVENUE 3 BEDOK VIEW SECONDARY SCHOOL SINGAPORE 469293,469293,SECONDARY,469293,1.323999396,103.9434752
HUA YI SECONDARY SCHOOL,60 JURONG WEST STREET 42 HUA YI SECONDARY SCHOOL SINGAPORE 649371,649371,SECONDARY,649371,1.3523562969999998,103.7217266
